Name,Description
Imports,Imports represent the value of goods brought into the United States from foreign countries.
Exports,"Exports represent the value of goods shipped out of the United States to foreign destinations. The Census Bureau defines exports as the total physical movement of merchandise out of the United States to foreign countries, whether such merchandise is exported from within U.S. Customs territory or from a U.S. Customs bonded warehouse or Foreign Trade Zone."
Trade Balance,"The merchandise trade balance represents the difference between U.S. exports and U.S. general imports. This balance corresponds to a measurement of the international payments or credit flows resulting from the physical movement of goods between the U.S. and foreign countries. A positive balance (surplus) occurs when exports exceed imports, while a negative balance (deficit) occurs when imports exceed exports."
PPI-Adjusted Imports,"PPI-Adjusted Imports represent import values adjusted using the Producer Price Index rather than the Import Price Index. The Producer Price Index (PPI) measures average changes in selling prices received by domestic producers for their output. When imports are adjusted using the PPI, it allows for comparison between foreign imports and domestic production on a more equivalent price basis."
IPI-Adjusted Imports,"IPI-Adjusted Imports represent the value of imports adjusted for price changes using the Import Price Index. The Import Price Index (IPI) measures changes in prices of goods purchased from other countries by the United States. By adjusting import values with the IPI, analysts can estimate real changes in import volumes by removing the effects of price inflation or deflation. This adjustment helps determine whether increases or decreases in import values reflect changes in actual quantities of goods traded or merely changes in their prices."
PPI-Adjusted Exports,"PPI-Adjusted Exports represent export values adjusted using the Producer Price Index rather than the Export Price Index. This adjustment provides an alternative perspective by comparing exports to domestic production on a consistent price basis. When exports are adjusted using the PPI instead of the EPI, the resulting measurements can help analyze how domestic production is distributed between serving foreign markets versus domestic consumption. "
EPI-Adjusted Exports,"EPI-Adjusted Exports represent the value of exports adjusted for price changes using the Export Price Index. The Export Price Index (EPI) measures price changes of goods sold to foreign buyers by U.S. residents. By adjusting export values with the EPI, analysts can estimate real changes in export volumes by removing the effects of price inflation or deflation. This adjustment helps determine whether increases or decreases in export values reflect changes in actual quantities of goods traded or merely changes in their prices."
Industrial Production,"The Federal Reserve's monthly index of industrial production measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories. It covers manufacturing, mining, and electric and gas utilities - sectors that, together with construction, account for the federalreserve bulk of variation in national output over business cycles.
This production index measures real output expressed as a percentage of real output in a base year (currently 2017). Since 1972, the indexes have been computed as Fisher indexes with weights based on annual estimates of value added. The index tracks physical output rather than sales or revenue, making it a key measure of actual industrial activity."
Capacity Utilization,"The rate of capacity utilization equals the seasonally adjusted output index expressed as a percentage of the related capacity index. In simpler terms, capacity utilization measures how much of the economy's potential output is actually being used. It shows the relationship between actual production and what could be produced if all available resources were fully employed. When this rate is high, it indicates the industrial sector is operating near its full capability, while lower rates suggest unused capacity."
Capacity,"The capacity index is an estimate of sustainable potential output, also expressed as a percentage of actual output in 2017. This measure represents the maximum level of output an industry can maintain within a realistic work schedule, accounting for normal downtime and assuming sufficient inputs to operate machinery and equipment. It's not the absolute physical maximum possible output, but rather the highest level that can be sustained under normal operational conditions."
